日期,版本,事件Id,事件名称,消息数量,独立用户数
2023-03-19,null,preview,预览,231,28
2023-03-19,null,engrave,雕刻,481,22
2023-03-19,null,connect_device,连接设备,4347,542
2023-03-19,null,search_device,搜索设备,6973,556
2023-03-20,null,mm_unit,毫米单位,1,1
2023-03-20,null,rn_share,分享,2,2
2023-03-20,null,inch_unit,公制单位,2,2
2023-03-20,null,smart_assistant,智能指南,3,3
2023-03-20,null,canvas_doodle,创作涂鸦,8,8
2023-03-20,null,rn_course,新手教程,13,6
2023-03-20,null,canvas_image_seal,印章,16,10
2023-03-20,null,rn_faq,FAQ,22,19
2023-03-20,null,rn_help,帮助,23,16
2023-03-20,null,canvas_text,创作文本,23,14
2023-03-20,null,rn_guide,新手引导,38,28
2023-03-20,null,canvas_image_print,版画,46,14
2023-03-20,null,canvas_material,创作素材,49,18
2023-03-20,null,canvas_image_gcode,GCode,56,14
2023-03-20,null,canvas_image_bw,黑白画,57,17
2023-03-20,null,canvas_image_dithering,抖动,66,23
2023-03-20,null,canvas_shape,创作形状,108,23
2023-03-20,null,canvas_image,创作图片,110,27
2023-03-20,null,user_register,用户注册,195,95
2023-03-20,null,create,打开创作,269,53
2023-03-20,null,preview,预览,559,40
2023-03-20,null,engrave,雕刻,781,29
2023-03-20,null,connect_device,连接设备,4918,612
2023-03-20,null,search_device,搜索设备,7384,662
2023-03-21,null,rn_publish,发帖,1,1
2023-03-21,null,smart_assistant,智能指南,1,1
2023-03-21,null,mm_unit,毫米单位,3,3
2023-03-21,null,inch_unit,公制单位,6,5
2023-03-21,null,canvas_doodle,创作涂鸦,9,6
2023-03-21,null,canvas_image_seal,印章,13,5
2023-03-21,null,canvas_image_bw,黑白画,21,12
2023-03-21,null,rn_help,帮助,24,22
2023-03-21,null,canvas_image_print,版画,25,11
2023-03-21,null,rn_faq,FAQ,26,23
2023-03-21,null,canvas_image_gcode,GCode,29,14
2023-03-21,null,canvas_text,创作文本,29,13
2023-03-21,null,rn_course,新手教程,33,12
2023-03-21,null,canvas_image_dithering,抖动,38,16
2023-03-21,null,canvas_image,创作图片,48,19
2023-03-21,null,canvas_material,创作素材,48,19
2023-03-21,null,rn_guide,新手引导,53,40
2023-03-21,null,canvas_shape,创作形状,88,21
2023-03-21,null,user_register,用户注册,286,144
2023-03-21,null,create,打开创作,298,54
2023-03-21,null,preview,预览,492,35
2023-03-21,null,engrave,雕刻,616,26
2023-03-21,null,connect_device,连接设备,6142,874
2023-03-21,null,search_device,搜索设备,10215,935
2023-03-22,null,rn_share,分享,4,4
